,r5_18,r5_19,r5_20,r7_18,r7_19,r7_20,r14_18,r14_19,r14_20,18,19,20
2020-03-11,,23.108090576703383,27.525474101236757,,23.655017649979218,28.827451234632598,,35.34600527504545,27.693591978003518,,16.683978494335893,13.536453735637757
2020-03-12,,27.597561762647494,23.300796264679388,,25.21226811265458,23.320473414449033,,28.435479173159948,26.63490484398551,,35.733155792410564,21.932024865761804
2020-03-13,,23.889601986396432,23.55235911348848,,24.3848213187018,25.76309896587757,,27.627280200436545,26.423281463615535,,19.42014055498511,24.30704765991577
2020-03-14,,21.511354597026365,19.925175420438446,,26.2346582280371,23.55235911348848,,27.627280200436545,27.470915018707206,,,
2020-03-15,,23.94575828057719,23.51986317932538,,23.889601986396432,25.70267258198802,,24.990685032456526,28.09209787664166,,,34.303926455986186
2020-03-16,,27.945007904797194,26.84766632722125,,22.94542915102027,23.51986317932538,,24.79398882769359,28.890713367518885,,28.681727366995904,
2020-03-17,,20.07236542324968,33.880964212870396,,22.5268461112991,27.42227424800215,,23.641374238609444,29.440985411696385,,12.115228347768024,43.03191852270923
2020-03-18,,31.10006648701855,39.501008292368404,,29.69069916169027,32.94841948055656,,26.398509246211514,30.88793535759458,,52.50324374629174,41.167179898409806
2020-03-19,,44.43288992931524,43.962623588812264,,39.43034005444921,40.031508403032966,,31.675028086197596,31.675990908741,,84.43136025620528,57.34746947814385
2020-03-20,,50.84633619016601,48.076301059899386,,50.84633619016601,45.321826139116745,,35.41045251514522,35.542462552497156,,76.50012123356909,50.75863634033467
2020-03-21,,62.82070310141684,48.076301059899386,,57.130873812346685,45.321826139116745,,41.68276602019189,35.64650746105974,,88.55356192325007,
2020-03-22,,87.90993051770401,43.78809623720226,,68.62094404332628,43.63686069430365,,49.982884852938845,34.66976663814584,,137.56136542920387,25.87909923192072
2020-03-23,,88.42829909463487,45.35927998923896,,72.39428108103344,44.27270306301248,,51.790592776861295,35.971567109537645,,55.095086630946035,47.45191490655663
2020-03-24,,83.39308803197642,47.034908811230565,,79.12857773748273,47.77571410357931,,55.54452289323956,38.52415053286242,,59.25530494291308,64.04998476611023
2020-03-25,,76.21257238573006,48.82781563111914,,77.42776334548923,50.56956139049251,,57.53731993557299,42.55995143143071,,40.597543002337204,57.930263619889004
2020-03-26,,74.26605773251171,49.96109493883655,,76.62628168848252,50.094018505752906,,61.127972674301986,45.520150277243836,,78.82098865715835,54.494212169706195
2020-03-27,,61.54733502145673,58.46651967942955,,76.26451463710536,53.03528293817808,,65.67360695088063,49.52916621133202,,73.96775187392896,68.40622293488568
2020-03-28,,68.19224153637307,62.916964454812614,,76.23109424885932,55.416548058934346,,67.4156078935458,51.21041392567702,,88.31961920552776,69.70413878347196
2020-03-29,,73.11156262208314,56.196495628949336,,68.55831495489642,56.06919683105908,,68.58962949911134,50.88905677407765,,83.85191037146346,30.447640636793807
2020-03-30,,80.18147184339034,53.19228939649156,,71.53717245174315,55.42024219549386,,71.96572676638827,50.27522413434861,,75.94708910887317,42.90923245760015
