date,r5_18,r5_19,r5_20,r7_18,r7_19,r7_20,r14_18,r14_19,r14_20,18,19,20
16-03-2020,,44.01685103,54.99698875,,35.98598973,56.90418113,,37.979139,57.51536569,,,76.53186475
17-03-2020,,36.78037338,77.84523102,,31.80297986,67.82605569,,35.68831914,63.04046347,,15.07094041,122.4354285
18-03-2020,,39.3319877,84.7245078,,35.4439072,66.28805434,,34.67282298,61.69188482,,30.09804251,55.30494256
19-03-2020,,60.62744329,75.95006935,,52.10856276,69.3689847,,44.00524386,59.28211736,,135.4318405,49.52804161
20-03-2020,,69.74792544,75.95006935,,65.19177827,77.68521457,,48.94939244,62.03076683,,98.39087833,
21-03-2020,,71.86583007,66.20062908,,70.20635001,68.26687622,,53.38690114,56.28920722,,80.33744859,37.53410369
22-03-2020,,98.165962,43.43206344,,84.31679173,62.1159245,,63.25688283,56.28017425,,146.5716001,31.3611659
23-03-2020,,99.55885052,55.44576566,,77.56617651,66.58723895,,62.44610859,62.18584903,,37.06248514,103.3597514
24-03-2020,,82.67207604,71.02348048,,82.69860903,64.82115101,,61.49209688,66.32360335,,50.99796806,111.8389009
25-03-2020,,65.59849731,77.57591174,,80.25931505,72.90126672,,61.58622845,69.59466053,,13.02298469,103.7856368
26-03-2020,,59.52409745,84.09607039,,68.0498306,76.3357426,,60.69232236,72.85236365,,49.96544931,70.13489691
27-03-2020,,38.82123572,92.14247315,,60.14503247,75.65823362,,62.47429976,76.50280901,,43.05729141,71.5931797
28-03-2020,,39.26092337,78.09345458,,56.77962978,75.02688432,,63.49298989,72.21021428,,,33.11465859
29-03-2020,,67.4760591,58.67270783,,59.6607816,72.65174164,,71.98878667,67.7890568,,163.858511,14.73516713
30-03-2020,,97.07022135,42.06350915,,75.38363969,60.84886907,,76.55885182,63.49734747,,131.3996337,20.73964343
31-03-2020,,93.72327749,39.9449176,,72.98025733,53.37787453,,78.21321594,58.65938675,,36.57767386,59.54193916
01-04-2020,,103.9479947,39.05584017,,84.80245324,48.14389678,,82.35614806,59.57037522,,83.95616016,67.14779255
02-04-2020,,105.4889187,39.12898309,,95.08364752,42.90753625,,80.52697687,58.33593918,,111.652615,33.48037318
03-04-2020,,90.89652068,41.30715887,,105.4889187,36.34080287,,79.03831841,55.99951824,,,25.62604604
